vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,success_rate | likelihood
0,8983,31050,19488,34839,15,2000,0.7509162180535381,0.24908378194646186,0.0
1,9124,40291,17529,15828,11,2000,0.7533748868110577,0.2466251131889423,0.0
2,14960,32005,10997,25187,14,2000,0.8751727669803736,0.1248272330196264,0.38
3,16910,34967,19355,46311,11,2000,0.7196546063866157,0.2803453936133843,0.0
4,12204,44108,10662,28086,11,2000,0.8246080001014083,0.17539199989859167,0.0
5,16680,45158,9902,30514,12,2000,0.8186855164514311,0.18131448354856894,0.0
6,7977,10615,22476,9893,8,2000,0.7940003878361234,0.20599961216387663,0.0
7,8128,48660,11485,31494,9,2000,0.85035665616669,0.14964334383331002,0.02
8,13585,25299,16269,30771,16,2000,0.7948155263397928,0.2051844736602072,0.0
9,7599,23016,11044,42812,15,2000,0.8023682515402594,0.19763174845974063,0.0
10,8644,12496,20718,39085,12,2000,0.8086864431796068,0.1913135568203932,0.0
11,16085,37599,18106,47840,13,2000,0.7325581113465061,0.26744188865349394,0.0
12,9729,39828,24795,35227,11,2000,0.8141811500834818,0.1858188499165182,0.0
13,12759,40972,6584,18524,12,2000,0.8003610695453022,0.19963893045469783,0.0
14,13148,37101,25348,46979,12,2000,0.7354395911991581,0.26456040880084186,0.0
15,14036,29654,18312,24947,13,2000,0.7639870692302411,0.23601293076975893,0.0
16,18947,19216,17496,23589,8,2000,0.7002933995512916,0.29970660044870845,0.0
17,10863,27550,6679,44103,9,2000,0.8278938527802497,0.17210614721975026,0.0
18,17568,44160,10645,41882,14,2000,0.8338411951465458,0.16615880485345424,0.0
19,13849,18439,12900,45349,9,2000,0.7354332475272926,0.26456675247270744,0.0
20,17305,41060,23995,29762,14,2000,0.747126481051247,0.252873518948753,0.0
21,12398,20017,26170,23816,11,2000,0.7502412863374802,0.24975871366251978,0.0
22,11560,32782,17485,49390,13,2000,0.800417487031529,0.19958251296847096,0.0
23,17144,45799,10225,31819,13,2000,0.7556284743624981,0.24437152563750186,0.0
24,10584,11732,10997,18553,15,2000,0.7195276486328982,0.2804723513671018,0.0
25,12631,19816,20067,24761,16,2000,0.8824264040816154,0.11757359591838457,0.61
26,15565,28905,8921,22543,16,2000,0.710609624170205,0.289390375829795,0.0
27,8883,10717,5058,15774,12,2000,0.7849832363080141,0.21501676369198586,0.0
28,17049,20912,10446,14053,8,2000,0.838818310744754,0.161181689255246,0.0
29,9831,36785,27519,9651,13,2000,0.704358187603788,0.295641812396212,0.0
30,8928,33871,12071,29580,9,2000,0.8545464626864356,0.14545353731356436,0.04
31,8128,49223,26277,29586,11,2000,0.8921063823683317,0.10789361763166827,0.85
32,10362,16689,26203,33553,11,2000,0.8620551720131786,0.1379448279868214,0.08
33,16847,14762,21176,41994,14,2000,0.748424813546714,0.251575186453286,0.0
34,8828,36992,16223,43015,15,2000,0.7906141117784055,0.20938588822159454,0.0
35,18831,29149,16621,20391,11,2000,0.8067684022414394,0.19323159775856058,0.0
36,12041,42023,13870,25046,15,2000,0.8034167083157862,0.19658329168421385,0.0
37,14304,28151,22295,17622,10,2000,0.7900534118102573,0.20994658818974266,0.0
38,7189,27871,11918,48949,8,2000,0.7885453275789714,0.21145467242102856,0.0
39,12979,45102,16447,44825,15,2000,0.8274341602196736,0.17256583978032636,0.0
40,7788,11985,20199,5685,8,2000,0.7055972246301275,0.29440277536987247,0.0
41,9972,27941,27186,6445,16,2000,0.8936486971380997,0.10635130286190031,0.76
42,14584,39408,14527,40833,10,2000,0.872987304133601,0.12701269586639896,0.29
43,17045,42401,14114,7781,11,2000,0.7068396845073307,0.2931603154926693,0.0
44,9057,45730,6022,10691,11,2000,0.8827831321316151,0.11721686786838492,0.57
45,10206,18057,27958,24864,10,2000,0.8170937288350922,0.18290627116490776,0.0
46,11397,41518,29460,24843,12,2000,0.8636792534595161,0.13632074654048387,0.15
47,12676,13883,22886,11794,8,2000,0.8595715441916764,0.14042845580832364,0.07
48,19984,10908,28625,23239,15,2000,0.8145917561558461,0.18540824384415389,0.0
49,9407,41163,15723,41456,9,2000,0.7259638100767003,0.2740361899232997,0.0
50,10467,24729,27472,8869,14,2000,0.886705003747524,0.11329499625247597,0.66
51,18884,15948,12685,9247,8,2000,0.7740600513583381,0.2259399486416619,0.0
52,7006,21572,17711,17534,15,2000,0.8771724849642545,0.12282751503574552,0.48
53,11700,43506,26635,34451,8,2000,0.7643140978232392,0.23568590217676078,0.0
54,13432,46038,8610,45729,9,2000,0.7956788038696954,0.20432119613030464,0.0
55,19399,17615,10257,44953,11,2000,0.7549727293962213,0.2450272706037787,0.0
56,9859,44083,10487,12307,12,2000,0.7447513966261242,0.2552486033738758,0.0
57,15056,19145,6164,22532,16,2000,0.7065864305545763,0.29341356944542374,0.0
58,10381,25621,21679,29178,15,2000,0.7038125015370961,0.29618749846290393,0.0
59,15007,33272,13297,24597,9,2000,0.7190128481742502,0.28098715182574985,0.0
60,14309,17176,25701,35298,10,2000,0.7358722562887418,0.26412774371125824,0.0
61,14228,19988,18062,47310,15,2000,0.8480286302757034,0.1519713697242966,0.0
62,8975,18688,8776,28793,15,2000,0.8730933597006818,0.1269066402993182,0.34
63,11399,12496,9030,39660,15,2000,0.8093735460755158,0.19062645392448418,0.0
64,8565,43464,17892,17706,11,2000,0.7100043010933087,0.2899956989066913,0.0
65,12319,25480,21496,42344,8,2000,0.7311156280207554,0.26888437197924464,0.0
66,19536,34591,7340,20772,11,2000,0.7052066341225449,0.2947933658774551,0.0
67,19366,32753,25993,22493,12,2000,0.7647039057545123,0.2352960942454877,0.0
68,11171,33542,18214,32720,9,2000,0.8444167107332998,0.15558328926670018,0.0
69,14927,34399,6687,23686,12,2000,0.7878665076791642,0.21213349232083578,0.0
70,15290,42255,17474,45270,15,2000,0.7233568793910083,0.27664312060899166,0.0
71,14611,44399,13022,14961,9,2000,0.8228726723066966,0.17712732769330342,0.0
72,15928,20478,6604,8104,13,2000,0.7315956740830796,0.2684043259169204,0.0
73,7205,40342,13158,36090,11,2000,0.8691944921433804,0.1308055078566196,0.18
74,13241,39267,27973,29363,8,2000,0.7412824312501205,0.2587175687498795,0.0
75,12512,25786,12774,42210,12,2000,0.7385507342845667,0.26144926571543325,0.0
76,19251,26318,11527,37275,12,2000,0.7713270921517462,0.22867290784825378,0.0
77,16003,49068,10671,29276,15,2000,0.8338739399896569,0.16612606001034314,0.0
78,18689,15120,8333,39159,14,2000,0.8372301142984057,0.16276988570159434,0.0
79,14603,32157,13468,34239,10,2000,0.8248302423712799,0.1751697576287201,0.0
80,17951,12457,12894,40902,11,2000,0.8618669455291177,0.1381330544708823,0.08
81,19712,15447,9148,48071,15,2000,0.8732191056155435,0.1267808943844565,0.37
82,9182,13498,8465,48402,11,2000,0.8508236574291567,0.14917634257084333,0.01
83,15978,38760,19684,45929,15,2000,0.8826365870165525,0.11736341298344755,0.61
84,16436,17149,28336,32719,10,2000,0.7726345274650955,0.22736547253490447,0.0
85,8783,18698,10019,39857,12,2000,0.7326797403268136,0.2673202596731864,0.0
86,14748,36493,13326,15076,11,2000,0.7677034714839958,0.23229652851600424,0.0
87,7983,31831,27832,40632,13,2000,0.8247295000493915,0.1752704999506085,0.0
88,17769,13263,26741,48471,8,2000,0.8018197504292841,0.1981802495707159,0.0
89,18983,43338,5280,5031,10,2000,0.8057986297046918,0.19420137029530815,0.0
90,12503,40143,29237,16371,13,2000,0.802609191966271,0.197390808033729,0.0
91,19609,38714,22915,37591,13,2000,0.7409150706522957,0.25908492934770433,0.0
92,14852,13997,5904,49116,14,2000,0.8296628561576357,0.1703371438423643,0.0
93,16427,43983,24727,32012,13,2000,0.7256896760034794,0.27431032399652056,0.0
94,15373,41280,27444,46551,10,2000,0.761811454523424,0.23818854547657597,0.0
95,8999,31126,18595,9246,14,2000,0.7243417226074799,0.27565827739252013,0.0
96,15098,28833,20689,27470,14,2000,0.7704669625761887,0.22953303742381126,0.0
97,12511,17279,7538,16820,11,2000,0.7866789137761557,0.21332108622384427,0.0
98,19078,44308,6487,47661,15,2000,0.7630709394123779,0.2369290605876221,0.0
99,15023,48804,20004,12284,15,2000,0.899028268443503,0.10097173155649697,0.84
100,7564,46849,14413,12876,15,2000,0.8493648333329247,0.15063516666707533,0.04
101,16562,45781,17947,5147,10,2000,0.7513539572395657,0.24864604276043434,0.0
102,14991,11227,22983,12552,15,2000,0.7367161565563768,0.2632838434436232,0.0
103,16443,24992,13076,41406,12,2000,0.775189080927134,0.224810919072866,0.0
104,8047,26576,27422,48588,12,2000,0.7331926660027868,0.26680733399721324,0.0
105,17151,36306,12851,33018,8,2000,0.8219761758516311,0.17802382414836893,0.0
106,12252,29622,5873,16737,11,2000,0.8100625374650368,0.18993746253496324,0.0
107,16828,13565,12670,29730,14,2000,0.8416088091864002,0.15839119081359976,0.01
108,19509,17843,25398,32911,16,2000,0.7706239055137475,0.2293760944862525,0.0
109,15670,18274,5520,37713,8,2000,0.8008786008812178,0.19912139911878224,0.0
110,17240,15045,10655,45197,13,2000,0.7740616267380795,0.22593837326192046,0.0
111,15810,44727,29055,6385,9,2000,0.802868255892504,0.197131744107496,0.0
112,7041,37627,18478,9463,13,2000,0.7753674352150829,0.2246325647849171,0.0
113,18432,33808,23256,20140,14,2000,0.8206447934709052,0.17935520652909476,0.0
114,17935,24005,16869,22016,16,2000,0.7923493047751391,0.2076506952248609,0.0
115,11479,33857,13547,8657,16,2000,0.8539623135581403,0.14603768644185966,0.11
116,12016,11476,19869,45424,11,2000,0.724353063779721,0.275646936220279,0.0
117,12864,28595,19141,48236,15,2000,0.8135443882012584,0.1864556117987416,0.0
118,11716,22473,15038,18373,15,2000,0.8304520630677553,0.16954793693224468,0.0
119,14309,25168,22591,24066,15,2000,0.7469676475223418,0.2530323524776582,0.0
120,13979,36632,9755,41122,16,2000,0.8808545118810505,0.11914548811894954,0.56
121,14284,24606,14441,45788,8,2000,0.7567803590574322,0.24321964094256776,0.0
122,7433,22051,5810,38088,11,2000,0.8743819141552513,0.12561808584474865,0.33
