vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
0,7268,36354,14259,42657,10,2000,0.8,0.19999999999999996,0.0,0.0
1,19329,21424,18148,45009,13,2000,0.8,0.19999999999999996,0.0,0.0
2,8484,37641,17777,39942,10,2000,0.8,0.19999999999999996,0.0,0.0
3,9453,27058,23287,28983,16,2000,0.8,0.19999999999999996,0.0,0.0
4,18915,24680,15262,49637,11,2000,0.8,0.19999999999999996,0.0,0.0
5,10211,26493,6040,27768,11,2000,0.8,0.19999999999999996,0.0,0.0
6,8203,45055,6948,22160,11,2000,0.8,0.19999999999999996,0.0,0.0
7,8784,31799,8890,13600,13,2000,0.8,0.19999999999999996,0.0,0.0
8,8982,36846,7533,15028,9,2000,0.8,0.19999999999999996,0.0,0.0
9,14597,11234,16671,18959,12,2000,0.8,0.19999999999999996,0.0,0.0
10,10929,42980,13530,37698,12,2000,0.8,0.19999999999999996,0.0,0.0
11,11569,14836,17583,49898,14,2000,0.8,0.19999999999999996,0.0,0.0
12,11261,15478,11179,48681,10,2000,0.8,0.19999999999999996,0.0,0.0
13,7543,30649,27558,35811,8,2000,0.8,0.19999999999999996,0.0,0.0
14,8049,33607,19224,33029,15,2000,0.8,0.19999999999999996,0.0,0.0
15,13441,25347,28467,9992,8,2000,0.8,0.19999999999999996,0.0,0.0
16,18221,26631,18391,10361,12,2000,0.8,0.19999999999999996,0.0,0.0
17,10693,24167,6241,36465,16,2000,0.8,0.19999999999999996,0.0,0.0
18,17515,24246,23419,45349,13,2000,0.8,0.19999999999999996,0.0,0.0
19,14486,46485,5614,31022,16,2000,0.8,0.19999999999999996,0.0,0.0
20,15738,13219,28106,44463,9,2000,0.8,0.19999999999999996,0.0,0.0
21,18409,47260,9690,27516,11,2000,0.8,0.19999999999999996,0.0,0.0
22,18827,27195,21818,46368,11,2000,0.8,0.19999999999999996,0.0,0.0
23,9300,25519,23652,48844,14,2000,0.8,0.19999999999999996,0.0,0.0
24,14716,39164,16458,29509,8,2000,0.8,0.19999999999999996,0.0,0.0
25,17517,43559,15338,46622,8,2000,0.8,0.19999999999999996,0.0,0.0
26,12903,27886,21072,29129,11,2000,0.8,0.19999999999999996,0.0,0.0
27,12645,18177,29535,31981,11,2000,0.8,0.19999999999999996,0.0,0.0
28,18183,25611,29159,13605,16,2000,0.8,0.19999999999999996,0.0,0.0
29,7906,47870,18005,16723,8,2000,0.8,0.19999999999999996,0.0,0.0
30,19158,42655,21732,43656,16,2000,0.8,0.19999999999999996,0.0,0.0
31,17174,37870,22999,23320,13,2000,0.8,0.19999999999999996,0.0,0.0
32,7542,25744,22108,19540,14,2000,0.8,0.19999999999999996,0.0,0.0
33,12051,39144,5785,19404,8,2000,0.8,0.19999999999999996,0.0,0.0
34,15424,43732,12095,9031,9,2000,0.8,0.19999999999999996,0.0,0.0
35,7999,12326,21128,35905,9,2000,0.8,0.19999999999999996,0.0,0.0
36,13123,13553,14389,40400,11,2000,0.8,0.19999999999999996,0.0,0.0
37,13263,32583,23910,16415,13,2000,0.8,0.19999999999999996,0.0,0.0
38,16812,32415,10560,39937,16,2000,0.8,0.19999999999999996,0.0,0.0
39,17632,35257,6550,7939,11,2000,0.8,0.19999999999999996,0.0,0.0
40,19555,12996,5842,12276,8,2000,0.8,0.19999999999999996,0.0,0.0
41,9917,29067,13403,34642,12,2000,0.8,0.19999999999999996,0.0,0.0
42,15791,22656,26398,29687,16,2000,0.8,0.19999999999999996,0.0,0.0
43,15849,49370,20411,40943,16,2000,0.8,0.19999999999999996,0.0,0.0
44,9034,30933,10827,38468,9,2000,0.8,0.19999999999999996,0.0,0.0
45,15870,48015,26473,23123,12,2000,0.8,0.19999999999999996,0.0,0.0
46,8864,45874,28378,31499,11,2000,0.8,0.19999999999999996,0.0,0.0
47,7973,14029,13568,11852,12,2000,0.8,0.19999999999999996,0.0,0.0
48,19063,36118,22356,45790,16,2000,0.8,0.19999999999999996,0.0,0.0
49,19630,39073,11962,37311,11,2000,0.8,0.19999999999999996,0.0,0.0
50,9906,28510,18999,15210,8,2000,0.8,0.19999999999999996,0.0,0.0
51,16280,40675,18030,19581,15,2000,0.8,0.19999999999999996,0.0,0.0
52,16558,44084,26279,40137,14,2000,0.8,0.19999999999999996,0.0,0.0
53,13819,20918,11211,28389,12,2000,0.8,0.19999999999999996,0.0,0.0
54,9278,45926,24930,48033,15,2000,0.8,0.19999999999999996,0.0,0.0
55,8835,47212,8187,28417,10,2000,0.8,0.19999999999999996,0.0,0.0
56,15314,29197,24809,13997,14,2000,0.8,0.19999999999999996,0.0,0.0
57,17566,15431,12924,6324,16,2000,0.8,0.19999999999999996,0.0,0.0
58,12533,28478,17221,14004,9,2000,0.8,0.19999999999999996,0.0,0.0
59,16739,12263,8638,33992,13,2000,0.8,0.19999999999999996,0.0,0.0
60,10339,19950,15522,37867,8,2000,0.8,0.19999999999999996,0.0,0.0
61,14352,11591,24076,21210,13,2000,0.8,0.19999999999999996,0.0,0.0
62,17479,46341,10052,8618,8,2000,0.8,0.19999999999999996,0.0,0.0
63,10955,16681,19415,15765,14,2000,0.8,0.19999999999999996,0.0,0.0
64,12583,43696,14656,24106,15,2000,0.8,0.19999999999999996,0.0,0.0
65,16440,31257,29837,15244,14,2000,0.8,0.19999999999999996,0.0,0.0
