vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
0,9570,17683,5104,7815,10,0.834868637300682,2000,0.16513136269931805,0.0,0.0
1,10613,16700,9845,7640,11,0.8426708472692795,2000,0.15732915273072046,0.02,0.000919963201471941
2,9919,13078,10247,11053,11,0.8883612573082389,2000,0.1116387426917611,0.79,0.03633854645814167
3,9849,27750,6296,7586,10,0.8293967062615978,2000,0.17060329373840222,0.0,0.0
4,9355,19906,7511,13229,11,0.8460391484406065,2000,0.15396085155939354,0.02,0.000919963201471941
5,9359,20460,10243,9329,10,0.7952322613542754,2000,0.20476773864572462,0.0,0.0
6,11951,17875,11974,11451,10,0.7577874405505642,2000,0.24221255944943576,0.0,0.0
7,9467,16554,9769,13974,10,0.8613154884843606,2000,0.13868451151563943,0.1,0.004599816007359705
8,8672,22327,9190,8089,11,0.8162698978360461,2000,0.1837301021639539,0.0,0.0
9,9629,24846,11298,12484,11,0.7612346923610747,2000,0.23876530763892534,0.0,0.0
10,11322,13855,13076,10037,9,0.7886251676313117,2000,0.21137483236868826,0.0,0.0
11,12324,19258,10415,12693,10,0.8424009545833295,2000,0.15759904541667047,0.01,0.0004599816007359705
12,11459,19204,14057,12478,11,0.7393965990502315,2000,0.2606034009497685,0.0,0.0
13,10818,21147,12581,10941,10,0.7470175080836665,2000,0.2529824919163335,0.0,0.0
14,11552,27877,11469,9490,11,0.7421748132539715,2000,0.2578251867460285,0.0,0.0
15,10158,23331,6896,11129,8,0.7760060820538598,2000,0.2239939179461402,0.0,0.0
16,8491,13645,7861,7333,11,0.8952060747529966,2000,0.10479392524700337,0.91,0.04185832566697332
17,11995,15376,7735,14892,11,0.8050601397543671,2000,0.19493986024563292,0.0,0.0
18,8336,16566,6356,9953,10,0.8642222542561177,2000,0.13577774574388235,0.17,0.0078196872125115
19,10154,19025,12598,5867,10,0.8155922248679064,2000,0.1844077751320936,0.0,0.0
20,10016,17933,13253,11918,11,0.7417310262385459,2000,0.2582689737614541,0.0,0.0
