vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
0,8983,31050,19488,34839,15,2000,0.7509162180535381,0.2490837819464618,0.0,0.0
1,9124,40291,17529,15828,11,2000,0.7533748868110577,0.2466251131889423,0.0,0.0
2,14960,32005,10997,25187,14,2000,0.8751727669803736,0.1248272330196264,0.38,0.008145766345123259
3,16910,34967,19355,46311,11,2000,0.7196546063866157,0.2803453936133843,0.0,0.0
4,12204,44108,10662,28086,11,2000,0.8246080001014083,0.1753919998985916,0.0,0.0
5,16680,45158,9902,30514,12,2000,0.8186855164514311,0.1813144835485689,0.0,0.0
6,7977,10615,22476,9893,8,2000,0.7940003878361234,0.2059996121638766,0.0,0.0
7,8128,48660,11485,31494,9,2000,0.85035665616669,0.14964334383331,0.02,0.0004287245444801715
8,13585,25299,16269,30771,16,2000,0.7948155263397928,0.2051844736602072,0.0,0.0
9,7599,23016,11044,42812,15,2000,0.8023682515402594,0.1976317484597406,0.0,0.0
10,8644,12496,20718,39085,12,2000,0.8086864431796068,0.1913135568203932,0.0,0.0
11,16085,37599,18106,47840,13,2000,0.7325581113465061,0.2674418886534939,0.0,0.0
12,9729,39828,24795,35227,11,2000,0.8141811500834818,0.1858188499165182,0.0,0.0
13,12759,40972,6584,18524,12,2000,0.8003610695453022,0.1996389304546978,0.0,0.0
14,13148,37101,25348,46979,12,2000,0.7354395911991581,0.2645604088008418,0.0,0.0
15,14036,29654,18312,24947,13,2000,0.7639870692302411,0.2360129307697589,0.0,0.0
16,18947,19216,17496,23589,8,2000,0.7002933995512916,0.2997066004487084,0.0,0.0
17,10863,27550,6679,44103,9,2000,0.8278938527802497,0.1721061472197502,0.0,0.0
18,17568,44160,10645,41882,14,2000,0.8338411951465458,0.1661588048534542,0.0,0.0
19,13849,18439,12900,45349,9,2000,0.7354332475272926,0.2645667524727074,0.0,0.0
20,17305,41060,23995,29762,14,2000,0.747126481051247,0.252873518948753,0.0,0.0
21,12398,20017,26170,23816,11,2000,0.7502412863374802,0.2497587136625197,0.0,0.0
22,11560,32782,17485,49390,13,2000,0.800417487031529,0.1995825129684709,0.0,0.0
23,17144,45799,10225,31819,13,2000,0.7556284743624981,0.2443715256375018,0.0,0.0
24,10584,11732,10997,18553,15,2000,0.7195276486328982,0.2804723513671018,0.0,0.0
25,12631,19816,20067,24761,16,2000,0.8824264040816154,0.1175735959183845,0.61,0.01307609860664523
26,15565,28905,8921,22543,16,2000,0.710609624170205,0.289390375829795,0.0,0.0
27,8883,10717,5058,15774,12,2000,0.7849832363080141,0.2150167636919858,0.0,0.0
28,17049,20912,10446,14053,8,2000,0.838818310744754,0.161181689255246,0.0,0.0
29,9831,36785,27519,9651,13,2000,0.704358187603788,0.295641812396212,0.0,0.0
30,8928,33871,12071,29580,9,2000,0.8545464626864356,0.1454535373135643,0.04,0.000857449088960343
31,8128,49223,26277,29586,11,2000,0.8921063823683317,0.1078936176316682,0.85,0.01822079314040729
32,10362,16689,26203,33553,11,2000,0.8620551720131786,0.1379448279868214,0.08,0.001714898177920686
33,16847,14762,21176,41994,14,2000,0.748424813546714,0.251575186453286,0.0,0.0
34,8828,36992,16223,43015,15,2000,0.7906141117784055,0.2093858882215945,0.0,0.0
35,18831,29149,16621,20391,11,2000,0.8067684022414394,0.1932315977585605,0.0,0.0
36,12041,42023,13870,25046,15,2000,0.8034167083157862,0.1965832916842138,0.0,0.0
37,14304,28151,22295,17622,10,2000,0.7900534118102573,0.2099465881897426,0.0,0.0
38,7189,27871,11918,48949,8,2000,0.7885453275789714,0.2114546724210285,0.0,0.0
39,12979,45102,16447,44825,15,2000,0.8274341602196736,0.1725658397803263,0.0,0.0
40,7788,11985,20199,5685,8,2000,0.7055972246301275,0.2944027753698724,0.0,0.0
41,9972,27941,27186,6445,16,2000,0.8936486971380997,0.1063513028619003,0.76,0.016291532690246517
42,14584,39408,14527,40833,10,2000,0.872987304133601,0.1270126958663989,0.29,0.006216505894962487
43,17045,42401,14114,7781,11,2000,0.7068396845073307,0.2931603154926693,0.0,0.0
44,9057,45730,6022,10691,11,2000,0.8827831321316151,0.1172168678683849,0.57,0.012218649517684886
45,10206,18057,27958,24864,10,2000,0.8170937288350922,0.1829062711649077,0.0,0.0
46,11397,41518,29460,24843,12,2000,0.8636792534595161,0.1363207465404838,0.15,0.003215434083601286
47,12676,13883,22886,11794,8,2000,0.8595715441916764,0.1404284558083236,0.07,0.0015005359056806005
48,19984,10908,28625,23239,15,2000,0.8145917561558461,0.1854082438441538,0.0,0.0
49,9407,41163,15723,41456,9,2000,0.7259638100767003,0.2740361899232997,0.0,0.0
50,10467,24729,27472,8869,14,2000,0.886705003747524,0.1132949962524759,0.66,0.01414790996784566
51,18884,15948,12685,9247,8,2000,0.7740600513583381,0.2259399486416619,0.0,0.0
52,7006,21572,17711,17534,15,2000,0.8771724849642545,0.1228275150357455,0.48,0.010289389067524116
53,11700,43506,26635,34451,8,2000,0.7643140978232392,0.2356859021767607,0.0,0.0
54,13432,46038,8610,45729,9,2000,0.7956788038696954,0.2043211961303046,0.0,0.0
55,19399,17615,10257,44953,11,2000,0.7549727293962213,0.2450272706037787,0.0,0.0
56,9859,44083,10487,12307,12,2000,0.7447513966261242,0.2552486033738758,0.0,0.0
57,15056,19145,6164,22532,16,2000,0.7065864305545763,0.2934135694454237,0.0,0.0
58,10381,25621,21679,29178,15,2000,0.7038125015370961,0.2961874984629039,0.0,0.0
59,15007,33272,13297,24597,9,2000,0.7190128481742502,0.2809871518257498,0.0,0.0
60,14309,17176,25701,35298,10,2000,0.7358722562887418,0.2641277437112582,0.0,0.0
61,14228,19988,18062,47310,15,2000,0.8480286302757034,0.1519713697242966,0.0,0.0
62,8975,18688,8776,28793,15,2000,0.8730933597006818,0.1269066402993182,0.34,0.007288317256162916
63,11399,12496,9030,39660,15,2000,0.8093735460755158,0.1906264539244841,0.0,0.0
64,8565,43464,17892,17706,11,2000,0.7100043010933087,0.2899956989066913,0.0,0.0
65,12319,25480,21496,42344,8,2000,0.7311156280207554,0.2688843719792446,0.0,0.0
66,19536,34591,7340,20772,11,2000,0.7052066341225449,0.2947933658774551,0.0,0.0
67,19366,32753,25993,22493,12,2000,0.7647039057545123,0.2352960942454877,0.0,0.0
68,11171,33542,18214,32720,9,2000,0.8444167107332998,0.1555832892667001,0.0,0.0
69,14927,34399,6687,23686,12,2000,0.7878665076791642,0.2121334923208357,0.0,0.0
70,15290,42255,17474,45270,15,2000,0.7233568793910083,0.2766431206089916,0.0,0.0
71,14611,44399,13022,14961,9,2000,0.8228726723066966,0.1771273276933034,0.0,0.0
72,15928,20478,6604,8104,13,2000,0.7315956740830796,0.2684043259169204,0.0,0.0
73,7205,40342,13158,36090,11,2000,0.8691944921433804,0.1308055078566196,0.18,0.0038585209003215433
74,13241,39267,27973,29363,8,2000,0.7412824312501205,0.2587175687498795,0.0,0.0
75,12512,25786,12774,42210,12,2000,0.7385507342845667,0.2614492657154332,0.0,0.0
