vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,success_rate | likelihood
0,10880,27994,11899,22537,14,0.7919013469688881,2000,0.20809865303111186,0.0
1,8203,17353,10429,17665,14,0.7991431503693365,2000,0.20085684963066353,0.0
2,7602,21375,7729,7632,12,0.8154028621511051,2000,0.18459713784889487,0.0
3,9434,16608,6406,16346,10,0.802658321387107,2000,0.19734167861289298,0.0
4,8499,10208,13490,18189,13,0.9383519955146823,2000,0.06164800448531771,0.02
5,12654,19940,10930,28399,9,0.7927145408781621,2000,0.20728545912183793,0.0
6,8606,14366,7765,20957,8,0.6774287900948981,2000,0.3225712099051019,0.0
7,9109,24595,11550,16877,7,0.7834461711786468,2000,0.2165538288213532,0.0
8,9303,19739,7550,15602,9,0.7501372938549085,2000,0.24986270614509154,0.0
9,10966,17640,8848,22148,10,0.8176740697044639,2000,0.18232593029553612,0.0
